playlist_id,playlist_name,playlist_genre
37i9dQZF1DXcZDD7cfEKhW,Pop Remix,pop
37i9dQZF1DWZQaaqNMbbXa,Dance Pop,pop
37i9dQZF1DX2ENAPP1Tyed,Dance Room,pop
37i9dQZF1DWSJHnPb1f0X3,Cardio,pop
37i9dQZF1DX6pH08wMhkaI,Dance Pop Hits,pop
37i9dQZF1DX3PIAZMcbo2T,Pop Warmup 130 BPM,pop
0B2HdP15IucgE0vk3sluJR,Dance Pop,pop
4SdfG4cPG3skmTiQLozZGh,Dance Pop Tunes,pop
7eERKCkgNKCCx5GYdeMIZf,Pop Dance Hits,pop
4QAzO1Z92yqqD6Mf3mOANu,Pop Inglés (2020 - 2010s) Música En Inglés 2010s,pop
46Cl6dmeiylK6TRGXr7hHe,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop
1y42gwI5cuwjBslPyQNfqb,post-teen alternative indie pop (large variety),pop
222nc9tKxKhfZ2GBrOpwH3,Post pop teen,pop
6jAPdgY9XmxC9cgkXAVmVv,Dr. Q's Prescription Playlist,pop
4gbXqmZDUFHqlaYjf4uVyS,a taste of the mainstream,pop
1CMvQ4Yr5DlYvYzI0Vc2UE,BALLARE,pop
6rjxP7GQKoqqgoakzxl3PY,post teen pop,pop
7kyvBmlc1uSqsTL0EuNLrx,Electropop Hits  2017-2020,pop
4Bi8VLtaSu0JILliif8lH6,Electropop 2019,pop
2UsEj2GUukV0GLbsE3rldz,ELECTROPOP,pop
4frhr6RQM2fMOm2mpvOVo6,ElectroPop 2020,pop
5TiiHps0hNCyQ6ijVkNZQs,Electropop - Pop,pop
44p8nNLe4fGfUeArS3MaIX,ELECTROPOP,pop
23swqzpOZwW1NhPiZ7iyFI,Mix ElectroPop//ElectroHouse// DeepHouse 2020,pop
65HtIbyFkaQPflCa4oW8KO,80's Songs | Top 80s Music Hits,pop
0cuHKz65ZPqBX1brG8djlg,ElectroPop,pop
1kEczIkZH8IgaWT2BiApxZ,10er Playlist,pop
4ZO0wp9G8FA3X6oYNBzda6,A Loose Definition of Indie Poptimism,pop
6MQeEHHDs6HQkN5Dlj3oKo,indie poptimism,pop
5qFXOOxrQVyS4UCq3UilZN,The Pulse of Indie Poptimism,pop
49qyKvg6UAQAvIMUIGMnP3,random playlist that can't decide its genre so go ahead jam along with these catchy tunes,pop
37i9dQZF1DWY6tYEFs22tT,Hip-Hop Central,rap
37i9dQZF1DWUFmyho2wkQU,Hip-Hop Drive,rap
37i9dQZF1DWT5MrZnPU1zD,Hip Hop Controller,rap
37i9dQZF1DX48TTZL62Yht,Hip-Hop Favourites,rap
37i9dQZF1DWVdgXTbYm2r0,Hip-Hop Mixtape,rap
37i9dQZF1DWTIuAboZgTMf,This Is Logic,rap
