track_id,name,artist,popularity,album_release_date,danceability,wordiness,duration_ms,
75FpbthrwQmzHlBJLuGdC7,Call You Mine - Keanu Silva Remix,The Chainsmokers,60,2019-07-19,0.718,0.102,169093,
55nMnifaQWKe3f9cbwOXwx,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,Martin Garrix,63,2019-07-12,0.69,0.0594,255238,
3TjLsDgL0bTbSQIF6M5Ki8,Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,David Guetta,65,2018-12-28,0.678,0.165,189375,
1mC2UjWt25Oixtqu7C6suL,Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,David Guetta,62,2019-05-08,0.684,0.128,210968,
4sqABRRGU7CzcHXCyxUzFw,Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,The Chainsmokers,58,2019-05-24,0.62,0.0352,205093,
7FDaS1k08rwMoAThmzUkOZ,Side Effects - Fedde Le Grand Remix,The Chainsmokers,63,2018-07-25,0.633,0.0432,172360,
4RaN7556EogBfF80klMEX2,Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,David Guetta,58,2019-07-11,0.607,0.0487,188640,
05CwHjIk71RXVU40boRMnR,Call You Mine,The Chainsmokers,39,2019-05-31,0.591,0.0289,217653,
6wo37KVqFJhtuxPTpLCcfe,Takeaway (feat. Lennon Stella),The Chainsmokers,67,2019-07-24,0.294,0.042,209893,
1ahVFh0ViDZr8LvkEVlq3B,No Sleep (feat. Bonn),Martin Garrix,76,2019-02-21,0.44,0.0326,207095,
4aTtHoSBB0CuQGA6vXBNyp,Home (feat. Bonn),Martin Garrix,72,2019-08-16,0.466,0.0307,239067,
7BKLCZ1jbUBVqRi2FVlTVw,Closer (feat. Halsey),The Chainsmokers,85,2016-07-29,0.748,0.0338,244960,
3ebXMykcMXOcLeJ9xZ17XH,Scared to Be Lonely,Martin Garrix,81,2017-01-27,0.584,0.0576,220883,
762UXiwEHYY97VL45sAUPR,2U,David Guetta,66,2017-06-09,0.551,0.0594,194907,
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,The Chainsmokers,83,2017-04-07,0.617,0.0317,247160,
3vv9phIu6Y1vX3jcqaGz5Z,Roses,The Chainsmokers,73,2015-06-16,0.713,0.0561,226739,
3tTYxjYYcXFqFXA0AZ1Fav,Flames,David Guetta,57,2018-09-14,0.609,0.0414,195000,
0lHAMNU8RGiIObScrsRgmP,Titanium (feat. Sia),David Guetta,66,2011-08-26,0.604,0.103,245040,
0U6bQIAh6MCGo1xjbIIx2S,Instagram,Dimitri Vegas & Like Mike,81,2019-07-05,0.765,0.0965,184558,
5EdYlCWou17k0N1PADLKfO,Call You Mine - Asketa & Natan Chaim Remix,The Chainsmokers,58,2019-07-19,0.577,0.0406,183653,
4YhN72dRYL2Z3MsaKyT7rS,Stay (Don't Go Away) [feat. Raye],David Guetta,74,2019-05-09,0.669,0.0624,185943,
7pWK1kMgHy5lNNiIfuRbkP,Used To Love (with Dean Lewis),Martin Garrix,83,2019-10-31,0.651,0.0375,236765,
3GT2CBmJWIEdCpHiB31WYK,Never Be Alone (feat. Aloe Blacc),David Guetta,68,2019-07-26,0.535,0.0353,178671,
5YN0zHycJ0Yxz31A5QsVov,These Are The Times (feat. JRM),Martin Garrix,71,2019-07-18,0.687,0.0328,188656,
3eW2EDwNRAiQKkgom96dUa,Summer Air (feat. Trevor Guthrie),Hardwell,40,2019-05-31,0.632,0.053,201905,
4huh5oqBz9RkgpzAkyuEAs,I'm Not Sorry,Hardwell,34,2019-03-08,0.65,0.0551,186094,
4Tvw0lweq9l2JPQKFbpbBQ,Better When You're Gone,David Guetta,76,2019-02-08,0.647,0.0372,192402,
7Feaw9WAEREY0DUOSXJLOM,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,83,2019-04-25,0.661,0.0566,163805,
4ut5G4rgB1ClpMTMfjoIuy,High On Life (feat. Bonn),Martin Garrix,77,2018-07-29,0.414,0.0311,230762,
7IWTIkiWGWNQyYfOLdMrGD,Burn Out (feat. Dewain Whitmore),Martin Garrix,68,2018-09-14,0.594,0.0398,200322,
47knrBbYhqtrggWYSkU6h1,Glitch,Martin Garrix,56,2018-12-14,0.715,0.0325,185161,
6RnkFd8Fqqgk1Uni8RgqCQ,Like I Do,David Guetta,72,2018-02-22,0.635,0.0377,202500,
23L5CiUhw2jV1OIMwthR3S,In the Name of Love,Martin Garrix,80,2016-07-29,0.501,0.0409,195707,
0PCRR19Pf4iiuvSrPxtQ0x,Sunshine,David Guetta,54,2012-12-07,0.59,0.0437,360960,
3pWcj8hxj3fsb9TDAcMpEl,Somebody,The Chainsmokers,13,2018-04-20,0.532,0.0328,223147,
50RJdoxw8iajGNtHQe6QeS,Something Just Like This - Alesso Remix,The Chainsmokers,56,2017-04-28,0.672,0.0472,252933,
5EwwwdsQfKI8ZnFG93j5Zu,Forever,Martin Garrix,62,2017-10-20,0.45,0.0395,218437,
15BlympuVSfZFROojEMY2M,Don't Let Me Down - Illenium Remix,The Chainsmokers,64,2016-05-27,0.428,0.075,218933,
6xUy203RnyyOfbqf96Nven,Selfish,Dimitri Vegas & Like Mike,69,2019-02-15,0.407,0.282,167857,
6F1kPSgdnlSzZRfskE9vaV,Lions in the Wild,Martin Garrix,2,2016-05-27,0.504,0.0442,211890,
2i2zYdN4KCkTCDscdMYr87,Lovers on the Sun (feat. Sam Martin),David Guetta,47,2014-11-24,0.645,0.0387,203520,
24tVqMiAtv8jmpNPhBEsDY,Now That I've Found You,Martin Garrix,57,2016-03-11,0.495,0.0319,192632,
3TKpJrY9q49Mj1JOsM9zGL,Family,The Chainsmokers,85,2019-12-06,0.584,0.0356,194827,
2a3dopgTF1q4rMVDJ1rwBU,Push My Luck,The Chainsmokers,66,2019-11-08,0.584,0.0395,181844,
5MvLsT03RBp67RLoeISCdl,Do You Mean (feat. Ty Dolla $ign & bülow),The Chainsmokers,17,2019-04-26,0.6,0.0394,193176,
1Pz3QmQFBFuI60rxCQBeW6,Kills You Slowly,The Chainsmokers,12,2019-03-29,0.696,0.0554,213333,
18KjYhghq6K3ZmfcewWDp6,Mistaken (feat. Alex Aris),Martin Garrix,68,2019-03-31,0.424,0.0386,282481,
2qv6LU59qyGRzm4X2TFYMl,Instagram - Dimitri Vegas & Like Mike VS Trobi Remix,Dimitri Vegas & Like Mike,41,2019-11-08,0.759,0.0888,144762,
15vzANxN8G9wWfwAJLLMCg,Paris,The Chainsmokers,75,2017-01-13,0.646,0.031,221520,
0YammaEkYSeo9vQYZ1OwS6,Say My Name,David Guetta,78,2018-09-14,0.703,0.123,198947,
11cDEev79fPKi6uJCjUhu8,Who Do You Love,The Chainsmokers,23,2019-02-07,0.51,0.0447,226747,
1mQ6oxC6caPHPY1siLKNzO,Summer Air (feat. Trevor Guthrie),Hardwell,51,2019-05-31,0.632,0.053,201905,
1dNIEtp7AY3oDAKCGg2XkH,Something Just Like This,The Chainsmokers,76,2017-02-22,0.607,0.0362,247627,
1i1fxkWeaMmKEB4T7zqbzK,Don't Let Me Down,The Chainsmokers,81,2016-02-05,0.532,0.172,208373,
3g0mEQx3NTanacLseoP0Gw,Takeaway,The Chainsmokers,85,2019-12-06,0.528,0.0324,209880,
0TDLuuLlV54CkRRUOahJb4,Titanium (feat. Sia),David Guetta,79,2012-12-07,0.604,0.103,245040,
7hQJA50XrCWABAu5v6QZ4i,Don't Stop Me Now - 2011 Mix,Queen,75,1978-11-10,0.563,0.16,209413,
5Q41NLTmGbVPozwHKK7bk2,Paradise City,Guns N' Roses,16,1987-01-01,0.274,0.0896,406307,
76P07ei8drjrenqtvDbefy,Hotline Bling,Drake,0,2016-05-06,0.905,0.0596,267187,
6T27IN7Ai94BeDv6PPCmoC,Turn Me On (feat. Nicki Minaj),David Guetta,64,2012-12-07,0.704,0.0591,199680,
127uq83uGFapbddqiMUKky,Sexy Bitch (feat. Akon),David Guetta,72,2010-11-22,0.813,0.0486,195853,
2a1o6ZejUi8U3wzzOtCOYw,Danza Kuduro,Don Omar,75,2010-01-01,0.4,0.28,198773,
1xznGGDReH1oQq0xzbwXa3,One Dance,Drake,20,2016-05-06,0.791,0.0532,173987,
7oY3KqKUERINrawkzIqTgx,Hey Baby,Dimitri Vegas & Like Mike,0,2016-11-04,0.601,0.132,191213,
3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber),David Guetta,71,2017-06-09,0.548,0.0591,194897,
11KJSRSgaDxqydKYiD2Jew,Too Good,Drake,12,2016-05-06,0.804,0.117,263373,
53Y0kdCa1CZ9gRqEuknfwy,Bang My Head (feat. Sia & Fetty Wap),David Guetta,64,2015-11-27,0.599,0.0789,193333,
15kQGEy89K8deJcZVFEn0N,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,22,2018-09-18,0.539,0.0432,199227,
4BiiOzZCrXEzHRLYcYFiD5,Hope,The Chainsmokers,74,2018-12-14,0.773,0.0958,180120,
0cge96qsW6ifXppeiiRIGd,How You Love Me (feat. Conor Maynard & Snoop Dogg),Hardwell,61,2018-12-07,0.775,0.0468,194286,
1GxHeBvQ9935Dd3cSfsfBa,Best I Ever Had,Drake,72,2010-01-01,0.431,0.33,258760,
46NBoIAHrmR7qcUGCIFEjR,This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),David Guetta,68,2016-05-13,0.367,0.0488,207273,
0JoaFxLgrqbWutREzcZBzS,One Dance,Drake,12,2016-04-05,0.771,0.0511,173975,
7pqgMEKsDMOHUdFQ7n0N9K,Dangerous (feat. Sam Martin),David Guetta,66,2014-11-21,0.466,0.0795,203641,
1SgdUjvppHnIp6L7DZSnwc,She Wolf (Falling to Pieces) (feat. Sia),David Guetta,67,2012-12-07,0.492,0.0655,222500,
31RuuWQ8XpyLNp5iKMyxWq,Rise (feat. Skylar Grey),David Guetta,43,2014-11-21,0.656,0.0511,235385,
6eIacmhkE82vZlMDnGS7aP,Bad (feat. Vassy) - Radio Edit,David Guetta,65,2014-11-21,0.614,0.088,170625,
1B3t5xC2jzTgjDOwawchu8,Sexy Bitch (feat. Akon),David Guetta,18,2010-11-22,0.813,0.0486,195853,
4f3uZW3Wc1uO2cN4WJs5nu,I Can Only Imagine (feat. Chris Brown & Lil Wayne),David Guetta,55,2012-12-07,0.67,0.0427,209533,
6qVXkG01rBYGfxIndGOQ3z,Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,60,2014-11-21,0.347,0.0549,191412,
285HeuLxsngjFn4GGegGNm,Hey Mama (feat. Nicki Minaj Bebe Rexha & Afrojack),David Guetta,71,2014-11-21,0.596,0.151,192560,
7ks6AZmFcm3Y6PGGxGSmlB,Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,69,2012-12-07,0.666,0.0414,194840,
1UfBAJfmofTffrae5ls6DA,Hotline Bling,Drake,10,2015-07-31,0.893,0.0549,267024,
3FWPoYBDserKdzcattMFGa,Roses,The Chainsmokers,63,2015-10-23,0.718,0.0473,225813,
7crMiinWx373rNBZBaVske,Closer,The Chainsmokers,62,2016-11-04,0.736,0.0297,245507,
